#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-09-22T20:34:45 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5f6a5ec48eb2	
#INFO	-out.max=200	
#INFO	queryParameters=16	
#-oc.form=dec
#-out.max=200
#-order=I
#-out.src=VIII/100/gleamegc
#-nav=cat:VIII/100&tab:{VIII/100/gleamegc}&key:source=VIII/100/gleamegc&HTTPPRM:&&-ref=VIZ5f6a5ec48eb2&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out.orig=orig&-out=Name&-out=RAJ2000&-out=DEJ2000&-out=int_flux_wide&-sort=int_flux_wide&Fintwide=>10.9&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=VIII/100/gleamegc
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=VIII/100/gleamegc
#-out.orig=orig
#-out=Name
#-out=RAJ2000
#-out=DEJ2000
#-out=int_flux_wide
#Fintwide=>10.9
#

#RESOURCE=yCat_8100
#Name: VIII/100
#Title: GaLactic and Extragalactic All-sky MWA survey (Hurley-Walker+, 2016)
#Table	VIII_100_gleamegc:
#Name: VIII/100/gleamegc
#Title: GLEAM EGC catalog, version 2
#Column	Name	(A14)	GLEAM name (JHHMMSS+DDMMSS) (Name)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F10.6)	Right Ascension J2000 (RAJ2000)	[ucd=pos.eq.ra]
#Column	DEJ2000	(F10.6)	Declination J2000 (DEJ2000)	[ucd=pos.eq.dec]
#Column	int_flux_wide	(F10.6)	Integrated flux in wide (170-231MHz) image (int_flux_wide)	[ucd=phot.flux]
GLEAM;RAJ2000;DEJ2000;Fintwide
 ;deg;deg;Jy
--------------;----------;----------;----------
J214724-813213;326.852051;-81.537109; 12.110959
J215706-694117;329.278900;-69.688171; 83.462608
J215748-694146;329.450470;-69.696350; 16.342030
J235847-605322;359.697662;-60.889553; 44.061394
J235910-605553;359.792572;-60.931488; 52.847794
J222702-523319;336.761261;-52.555393; 12.618969
J215407-515010;328.529968;-51.836227; 13.821390
J214333-431245;325.889191;-43.212704; 13.385371
J233426-412520;353.608856;-41.422459; 22.396118
J225303-405744;343.264374;-40.962276; 20.951365
J232634-402715;351.642395;-40.454403; 11.376343
J235701-344532;359.255005;-34.758972; 16.732759
J210138-280019;315.409790;-28.005381; 14.203708
J231956-272735;349.984528;-27.459827; 11.333347
J210722-252556;316.843048;-25.432241; 25.925882
J210724-252953;316.852081;-25.498209; 12.102251
J211636-205545;319.151306;-20.929369; 12.560181
J221425-170140;333.606415;-17.027868; 56.682056
J232102-162302;350.258972;-16.384098; 13.360071
J213744-143252;324.433380;-14.547894; 16.383692
J232519-120727;351.332489;-12.124376; 11.346790
J222547-045657;336.446472;-04.949217; 14.910860
J222350-020625;335.959473;-02.107126; 14.087527
J020213-762006;030.556303;-76.335075; 14.338372
J040848-750716;062.203442;-75.121338; 52.120403
J025245-710434;043.191196;-71.076332; 15.424467
J001602-631005;004.010362;-63.168179; 11.153043
J040820-654458;062.085506;-65.749672; 51.777267
J042056-622337;065.233665;-62.393787; 15.356703
J062646-543233;096.694405;-54.542625; 15.171307
J062622-534125;096.594780;-53.690434; 35.295979
J024656-554116;041.734310;-55.687901; 14.145396
J062140-524109;095.419250;-52.686100; 11.338516
J001030-442259;002.627115;-44.383228; 11.292017
J042907-534919;067.279350;-53.822166; 13.896347
J004209-441404;010.538418;-44.234619; 15.040246
J024344-511231;040.935593;-51.208698; 12.534481
J010521-450527;016.338017;-45.091045; 15.659680
J005214-430628;013.061183;-43.108032; 11.562567
J004616-420739;011.567042;-42.127586; 24.943130
